Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50 PHASE OVERCURRENT-1 START,,NORMAL,START,YES,A51_PTOC1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50 PHASE OVERCURRENT-1 TRIP,,NORMAL,TRIP,YES,A51_PTOC1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51 PHASE OVERCURRENT-2 START,,NORMAL,START,YES,A51_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51 PHASE OVERCURRENT-2 TRIP,,NORMAL,TRIP,YES,A51_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50N EARTH FAULT-1 START,,NORMAL,START,YES,A51N_PTOC1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50N EARTH FAULT-1 TRIP,,NORMAL,TRIP,YES,A51N_PTOC1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51N EARTH FAULT-2 START,,NORMAL,START,YES,A51N_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51N EARTH FAULT-2 TRIP,,NORMAL,TRIP,YES,A51N_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51G EARTH FAULT-2 START,,NORMAL,START,YES,A51N_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51G EARTH FAULT-2 TRIP,,NORMAL,TRIP,YES,A51N_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27 UNDER VOLTAGE-1 START,,NORMAL,START,YES,A27_PTUV1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27 UNDER VOLTAGE-1 TRIP,,NORMAL,TRIP,YES,A27_PTUV1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27I UNDER CURRENT-1 START,,NORMAL,START,YES,A27_PTUV1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27I UNDER CURRENT-1 TRIP,,NORMAL,TRIP,YES,A27_PTUV1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P87T DIFFERENTIAL TRIP,,NORMAL,TRIP,YES,A87T_PDIF1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P64REF DIFFERENTIAL TRIP,,NORMAL,TRIP,YES,A64RF_PDIF1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,86T MAIN TRIP LOCKOUT,I104,NORMAL,TRIP,YES,M120_GGIO1 / Ind4,,BIT,3,,,,Parameters3,2,Parameters2.CB.TRIP,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,86T 2A TRIP LOCKOUT,I205,NORMAL,TRIP,YES,M120_GGIO2 / Ind5,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,86T 1A TRIP LOCKOUT,I208,NORMAL,TRIP,YES,M120_GGIO2 / Ind8,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,CB TRIP FROM SDE,I114,NORMAL,TRIP,YES,M120_GGIO1 / Ind14,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,WINDING TEMPERATURE TRIP,I301,NORMAL,TRIP,YES,M120_GGIO3/ Ind1,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ENERGY,POSITIVE ACTIVE ENERGY,,,,YES,MMTR1 / DmdWh,,UINT32,3,0,4294967295,1 kWh,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ENERGY,NEGATIVE ACTIVE ENERGY,,,,YES,MMTR1 / SupWh,,UINT32,3,0,4294967295,1 kWh,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ENERGY,POSITIVE REACTIVE ENERGY,,,,YES,MMTR1 / DmdVArh,,UINT32,3,0,4294967295,1 kVARh,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ENERGY,NEGATIVE REACTIVE ENERGY,,,,YES,MMTR1 / SupVArh,,UINT32,3,0,4294967295,1 kVARh,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,PHASE CURRENT-1,,,,YES,MMXU1 / A / PhsA,,INT16U,3,0,65535,1A,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,PHASE CURRENT-2,,,,YES,MMXU1 / A / PhsB,,INT16U,3,0,65536,1A,Parameters5,,Parameters2.I,Parameters11,,3,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,PHASE CURRENT-3,,,,YES,MMXU1 / A / PhsC,,INT16U,3,0,65536,1A,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,RESIDUAL CURRENT,,,,YES,MMXU1 / A / neut,,INT16U,3,0,65536,1A,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,PHASE VOLTAGE-13,,,,YES,MMXU1 / PPV / PhsAB,,INT16U,3,0,65536,1KV,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,PHASE VOLTAGE-23,,,,YES,MMXU1 / PPV / PhsBC,,INT16U,3,0,65536,1KV,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,PHASE VOLTAGE-31,,,,YES,MMXU1 / PPV / PhsCA,,INT16U,3,0,65536,1KV,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,NEUTRAL VOLTAGE,,,,YES,MMXU1 / PhV / res,,INT16U,3,0,65536,1KV,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,FREQUENCY,,,,YES,MMXU1 / Hz,,INT16U,3,0,65536,1 Hz,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MEASUREMENT,ACTIVE POWER,,,,YES,MMXU1 / TotW,,INT16,3,-65536,65536,1 kW,,,,,,,
