Parameters2,,,,,,,,,,,,,
,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,SIS2A ADDRESS,SIS2B ADDRESS,SIS1A ADDRESS,SIS1B ADDRESS,PLC TAG,REMARK
1,063-CP-850000-011,NSX,SPARE (MASTERPACT NW08),400V,B1-1,ALARM,SERIAL MODBUS,100,340,,,COMM.LINK,
1,063-CP-850000-011,TESYST,COOLER FAN FOR 62-MEA-214,400V,B1-2,ALARM,MODBUS TCP,,,102,342,COMM.LINK,
1,063-CP-850000-011,TESYST,TRACE HEATING DB 062-0200-TDB-0257,400V,B1-3,ALARM,MODBUS TCP,,,103,343,COMM.LINK,
1,063-CP-850000-011,TESYST,LUBE OIL PUMP 62-MG-225,400V,B2-1,ALARM,MODBUS TCP,,,104,344,COMM.LINK,
1,063-CP-850000-011,TESYST,MOTOR HEATER FOR 62-MG-209B-ACH3,400V,B2-2,ALARM,MODBUS TCP,,,105,345,COMM.LINK,
1,063-CP-850000-011,TESYST,MOTOR HEATER FOR 62-MG-211B-ACH3,400V,B2-3,ALARM,MODBUS TCP,,,106,346,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B2-4,ALARM,MODBUS TCP,,,107,347,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B2-5,ALARM,SERIAL MODBUS,101,341,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B2-6,ALARM,SERIAL MODBUS,102,342,,,COMM.LINK,
1,063-CP-850000-011,TESYST,LUBE OIL PUMP 62-MG-223,400V,B3-1,ALARM,MODBUS TCP,,,108,348,COMM.LINK,
1,063-CP-850000-011,NSX,LUBE OIL HEATER DB 062-0200-PDB 50806-SGP2A,400V,B3-2,ALARM,SERIAL MODBUS,103,343,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B3-3,ALARM,SERIAL MODBUS,104,344,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B3-4,ALARM,SERIAL MODBUS,105,345,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B3-5,ALARM,SERIAL MODBUS,106,346,,,COMM.LINK,
1,063-CP-850000-011,TESYST,TRACE HEATING DB 062-0800-TDB-0604,400V,B3-6,ALARM,MODBUS TCP,,,109,349,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B4-1,ALARM,SERIAL MODBUS,107,347,,,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B4-2,ALARM,MODBUS TCP,,,110,350,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B4-3,ALARM,MODBUS TCP,,,111,351,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (FREE) _ IFM module,400V,B4-4,ALARM,SERIAL MODBUS,108,348,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B4-5,ALARM,SERIAL MODBUS,109,349,,,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B4-6,ALARM,MODBUS TCP,,,112,352,COMM.LINK,
1,063-CP-850000-011,TESYST,COOLER FAN FOR 62-MEA-216,400V,B5-1,ALARM,MODBUS TCP,,,113,353,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B5-2,ALARM,MODBUS TCP,,,114,354,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,B5-3,ALARM,SERIAL MODBUS,110,350,,,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,B5-4,ALARM,MODBUS TCP,,,115,355,COMM.LINK,
