Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG GATEWAY SIS1B,IM2-9,NORMAL,ALARM,YES,626,10,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG PLC1A POWER SLOT,IM2-10,NORMAL,ALARM,YES,626,11,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG PLC1B POWER SLOT,IM2-11,NORMAL,ALARM,YES,626,12,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG GATEWAY SIS2A,IM2-12,NORMAL,ALARM,YES,626,13,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG GATEWAY SIS2B,IM2-13,NORMAL,ALARM,YES,626,14,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG 24VDC POWER SUPPLY P01,IM2-14,NORMAL,ALARM,YES,626,15,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG 24VDC POWER SUPPLY P02,IM2-15,NORMAL,ALARM,YES,626,16,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG REDUNDANCY MODUEL D01,IM3-0,NORMAL,ALARM,YES,627,1,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,SPARE,SPARE,IM3-1,,,,627,2,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,SPARE,SPARE,IM3-2,,,,627,3,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH OT211A,IM3-3,NORMAL,ALARM,YES,627,4,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH OT211A,IM3-4,NORMAL,ALARM,YES,627,5,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH OT211B,IM3-5,NORMAL,ALARM,YES,627,6,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH OT211B,IM3-6,NORMAL,ALARM,YES,627,7,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG THERMOSTAT,IM3-7,NORMAL,ALARM,YES,627,8,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,MAIN 230VAC SUPPLY FAIL Q01/Q60,IM3-8,NORMAL,ALARM,YES,627,9,BOOLEAN,3,,,,,,,,,,
